Unnamed: 0,mines_outcome,LATITUD_Y,LONGITUD_X,random_seed0,random_seed1,random_seed2,random_seed3,random_seed4,sonson_seed0,sonson_seed1,sonson_seed2,sonson_seed3,sonson_seed4,caldas_seed0,caldas_seed1,caldas_seed2,caldas_seed3,caldas_seed4,geometry,cluster,sonson_avg,Municipio,option
67,1,5.777099433,-75.47320668,0.750973245,0.726269882,0.781793063,0.78890959,0.716305676,0.811815302,0.811499616,0.811710736,0.831169159,0.825802206,0.797800352,0.798238686,0.802176746,0.804246746,0.807826095,POINT (-75.47320667953302 5.7770994330626975),1,0.818399404,ABEJORRAL,sonson_avg
68,1,5.786073792,-75.47320668,0.77728665,0.716372728,0.797293403,0.796155271,0.782880337,0.814453093,0.806116246,0.81300645,0.817720291,0.809250584,0.80504956,0.801889157,0.804688195,0.790006469,0.810720014,POINT (-75.47320667953302 5.786073792037056),1,0.812109333,ABEJORRAL,sonson_avg
69,-1,5.795048151,-75.47320668,0.767370757,0.739702153,0.771203514,0.613425953,0.657231724,0.691499656,0.683460315,0.676038115,0.701961737,0.689861647,0.812627281,0.808906223,0.79788484,0.794300641,0.82608394,POINT (-75.47320667953302 5.795048151011415),1,0.688564294,ABEJORRAL,sonson_avg
70,-1,5.80402251,-75.47320668,0.669718459,0.680333656,0.384234126,0.372107535,0.561953037,0.757162122,0.768053172,0.771239163,0.786501163,0.772628811,0.746431743,0.768760545,0.737474285,0.419634877,0.76141028,POINT (-75.47320667953302 5.804022509985774),1,0.771116886,ABEJORRAL,sonson_avg
71,-1,5.795048151,-75.46423232,0.741998839,0.714668223,0.505166282,0.744683015,0.466335659,0.600333526,0.605002301,0.600935428,0.616897361,0.615653011,0.79154163,0.799847424,0.77074537,0.693688428,0.809208048,POINT (-75.46423232055866 5.795048151011415),1,0.607764325,ABEJORRAL,sonson_avg
72,-1,5.80402251,-75.46423232,0.643579235,0.745041646,0.456187574,0.734914863,0.610713614,0.627839611,0.644237509,0.643506711,0.650488233,0.643946658,0.776125686,0.765529682,0.763032031,0.434865551,0.779439572,POINT (-75.46423232055866 5.804022509985774),1,0.642003744,ABEJORRAL,sonson_avg
73,-1,5.812996869,-75.46423232,0.670676614,0.665962474,0.369682743,0.368333234,0.361429754,0.504067367,0.508078007,0.521393996,0.530990512,0.505194854,0.427780559,0.740872733,0.462909123,0.425888728,0.749601194,POINT (-75.46423232055866 5.812996868960133),1,0.513944947,ABEJORRAL,sonson_avg
74,-1,5.821971228,-75.46423232,0.574478159,0.491720503,0.278315211,0.43361332,0.391829945,0.522738756,0.200343509,0.507605314,0.250986428,0.511534149,0.469963055,0.728205965,0.392962496,0.385808911,0.546561957,POINT (-75.46423232055866 5.821971227934492),1,0.398641631,ABEJORRAL,sonson_avg
75,-1,5.830945587,-75.46423232,0.641680562,0.700999415,0.507428286,0.389003234,0.388066983,0.814073753,0.805902129,0.803579373,0.824008049,0.818206748,0.425698766,0.761710045,0.401126331,0.40066846,0.756528052,POINT (-75.46423232055866 5.830945586908851),0,0.81315401,ABEJORRAL,sonson_avg
76,-1,5.866843023,-75.46423232,0.762375081,0.760825815,0.739406799,0.463298744,0.605853138,0.405661317,0.618392087,0.639883367,0.64403066,0.639392346,0.648435674,0.430179259,0.742165912,0.422260919,0.763514146,POINT (-75.46423232055866 5.866843022806287),1,0.589471955,ABEJORRAL,sonson_avg
